Server	Service	Node	Deploy
192.168.1.45	Cisco CallManager	CUCM10	Deploy
192.168.1.45	Cisco Unified Mobile Voice Access Service	CUCM10	Deploy
192.168.1.45	Cisco IP Voice Media Streaming App	CUCM10	Deploy
192.168.1.45	Cisco CTIManager	CUCM10	Deploy
192.168.1.45	Cisco Extension Mobility	CUCM10	Deploy
192.168.1.45	Cisco Extended Functions	CUCM10	Deploy
192.168.1.45	Cisco DHCP Monitor Service	CUCM10	Deploy
192.168.1.45	Cisco Dialed Number Analyzer Server	CUCM10	Deploy
192.168.1.45	Cisco Dialed Number Analyzer	CUCM10	Deploy
192.168.1.45	Cisco Tftp	CUCM10	Deploy
192.168.1.45	Cisco WebDialer Web Service	CUCM10	Deploy
192.168.1.45	Cisco SOAP - CDRonDemand Service	CUCM10	Deploy
192.168.1.45	Cisco CAR Web Service	CUCM10	Deploy
192.168.1.45	Cisco UXL Web Service	CUCM10	Deploy
192.168.1.45	Cisco Bulk Provisioning Service	CUCM10	Deploy
192.168.1.45	Cisco Serviceability Reporter	CUCM10	Deploy
192.168.1.45	Cisco CallManager SNMP Service	CUCM10	Deploy
192.168.1.45	Cisco CTL Provider	CUCM10	Deploy
192.168.1.45	Cisco Certificate Authority Proxy Function	CUCM10	Deploy
192.168.1.45	Cisco DirSync	CUCM10	Deploy
192.168.1.45	Cisco Intercluster Lookup Service	CUCM10	Deploy
192.168.1.45	Cisco Location Bandwidth Manager	CUCM10	Deploy
192.168.1.45	Cisco Directory Number Alias Sync	CUCM10	Deploy
192.168.1.45	Cisco Directory Number Alias Lookup	CUCM10	Deploy
192.168.1.47	Cisco CallManager	CUCM10	Deploy
192.168.1.47	Cisco Unified Mobile Voice Access Service	CUCM105	Deploy
192.168.1.47	Cisco IP Voice Media Streaming App	CUCM105	Deploy
192.168.1.47	Cisco CTIManager	CUCM105	Deploy
192.168.1.47	Cisco Extension Mobility	CUCM105	Deploy
192.168.1.47	Cisco Extended Functions	CUCM105	Deploy
192.168.1.47	Cisco DHCP Monitor Service	CUCM105	Deploy
192.168.1.47	Cisco Dialed Number Analyzer Server	CUCM105	Deploy
192.168.1.47	Cisco Dialed Number Analyzer	CUCM105	Deploy
192.168.1.47	Cisco Tftp	CUCM105	Deploy
192.168.1.47	Cisco WebDialer Web Service	CUCM105	Deploy
192.168.1.47	Cisco SOAP - CDRonDemand Service	CUCM105	Deploy
192.168.1.47	Cisco CAR Web Service	CUCM105	Deploy
192.168.1.47	Cisco UXL Web Service	CUCM105	Deploy
192.168.1.47	Cisco Bulk Provisioning Service	CUCM105	Deploy
192.168.1.47	Cisco Serviceability Reporter	CUCM105	Deploy
192.168.1.47	Cisco CallManager SNMP Service	CUCM105	Deploy
192.168.1.47	Cisco CTL Provider	CUCM105	Deploy
192.168.1.47	Cisco Certificate Authority Proxy Function	CUCM105	Deploy
192.168.1.47	Cisco DirSync	CUCM105	Deploy
192.168.1.47	Cisco Intercluster Lookup Service	CUCM105	Deploy
192.168.1.47	Cisco Location Bandwidth Manager	CUCM105	Deploy
192.168.1.47	Cisco Directory Number Alias Sync	CUCM105	Deploy
192.168.1.47	Cisco Directory Number Alias Lookup	CUCM105	Deploy
