Server name	Service name	Service Type	Dependent Services	Group Name	Deployable
192.168.1.45	Cisco Serviceability Reporter	Service		Performance and Monitoring Services	Deployable
192.168.1.45	Cisco DirSync	Service		Directory Services	Deployable
192.168.1.45	Cisco CallManager	Service		CM Services	Deployable
192.168.1.45	Cisco Unified Mobile Voice Access Service	Servlet		CM Services	Deployable
192.168.1.45	Cisco IP Voice Media Streaming App	Service		CM Services	Deployable
192.168.1.45	Cisco CTIManager	Service	Cisco CallManager,	CM Services	Deployable
192.168.1.45	Cisco Extension Mobility	Servlet		CM Services	Deployable
192.168.1.45	Cisco IP Manager Assistant	Servlet		CTI Services	Deployable
192.168.1.45	Cisco Extended Functions	Service		Voice Quality Reporter Services	Deployable
192.168.1.45	Cisco Bulk Provisioning Service	Service		Database and Admin Services	Deployable
192.168.1.45	Cisco WebDialer Web Service	Servlet		CTI Services	Deployable
192.168.1.45	Cisco CallManager SNMP Service	Service		Performance and Monitoring Services	Deployable
192.168.1.45	Cisco DHCP Monitor Service	Service	Cisco Database Layer Monitor,	CM Services	Deployable
192.168.1.45	Cisco Intercluster Lookup Service	Service		CM Services	Deployable
192.168.1.45	Cisco Location Bandwidth Manager	Service		CM Services	Deployable
192.168.1.45	Cisco Directory Number Alias Sync	Service		CM Services	Deployable
192.168.1.45	Cisco Directory Number Alias Lookup	Servlet		CM Services	Deployable
192.168.1.45	Self Provisioning IVR	Service	Cisco CTIManager,	CTI Services	Deployable
192.168.1.45	Cisco Dialed Number Analyzer Server	Service		CM Services	Deployable
192.168.1.45	Cisco Dialed Number Analyzer	Servlet	Cisco Dialed Number Analyzer Server,	CM Services	Deployable
192.168.1.45	Cisco SOAP - CDRonDemand Service	Service		CDR Services	Deployable
192.168.1.45	Cisco CAR Web Service	Servlet	Cisco CAR DB,A Cisco DB,	CDR Services	Deployable
192.168.1.45	Cisco Tftp	Service		CM Services	Deployable
192.168.1.45	Cisco AXL Web Service	Servlet		Database and Admin Services	Deployable
192.168.1.45	Cisco UXL Web Service	Servlet		Database and Admin Services	Deployable
192.168.1.45	Cisco TAPS Service	Service		Database and Admin Services	Deployable
192.168.1.45	Cisco CTL Provider	Service		Security Services	Deployable
192.168.1.45	Cisco Certificate Authority Proxy Function	Service		Security Services	Deployable
192.168.1.45	Cisco Prime LM Resource API	Servlet		ELM Services	Deployable
192.168.1.45	Cisco Prime LM Resource Legacy API	Servlet		ELM Services	Deployable
192.168.1.45	Cisco CallManager Serviceability RTMT	Servlet		Performance and Monitoring	Not Deployable
192.168.1.45	Platform Administrative Web Service	Servlet		Platform Services	Not Deployable
192.168.1.45	Cisco CallManager Serviceability	Servlet		System Services	Not Deployable
192.168.1.45	A Cisco DB	Service		Platform Services	Not Deployable
192.168.1.45	A Cisco DB Replicator	Service		Platform Services	Not Deployable
192.168.1.45	SNMP Master Agent	Service		Platform Services	Not Deployable
192.168.1.45	Cisco Database Layer Monitor	Service		DB Services	Not Deployable
192.168.1.45	MIB2 Agent	Service		Platform Services	Not Deployable
192.168.1.45	Host Resources Agent	Service		Platform Services	Not Deployable
192.168.1.45	System Application Agent	Service		Platform Services	Not Deployable
192.168.1.45	Cisco CDP Agent	Service		Platform Services	Not Deployable
192.168.1.45	Cisco Syslog Agent	Service		Platform Services	Not Deployable
192.168.1.45	Cisco CallManager Admin	Servlet		Admin Services	Not Deployable
192.168.1.45	Cisco RTMT Reporter Servlet	Servlet		Performance and Monitoring	Not Deployable
192.168.1.45	Cisco Log Partition Monitoring Tool	Service	Cisco Database Layer Monitor,	Performance and Monitoring	Not Deployable
192.168.1.45	Cisco CDP	Service		System Services	Not Deployable
192.168.1.45	SOAP -Real-Time Service APIs	Service		SOAP Services	Not Deployable
192.168.1.45	SOAP -Performance Monitoring APIs	Service		SOAP Services	Not Deployable
192.168.1.45	SOAP -Log Collection APIs	Service		SOAP Services	Not Deployable
192.168.1.45	Cisco DRF Local	Service		Backup and Restore Services	Not Deployable
192.168.1.45	Cisco Certificate Expiry Monitor	Service		Platform Services	Not Deployable
